sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.0,0.1,10.0,0.005,0.7,10,5.0,5.1379600018996996e-08,1.0323401532449763,6.439916234878469,6.64818411279925,72.26380701426265,69.999996403428,13.999999280685493,0.007640872700148213,5.201179539729663,0.7911803068846952,92862
delta,0.06785714285714285,0.1,10.0,0.005,0.7,10,5.0,3.560726047346918e-07,1.033807135497047,6.417252243634483,6.634201159753763,72.36647371706519,69.99997507491753,13.999995014983373,0.008111147799245244,5.099936559353664,0.8919572778637175,92862
delta,0.1357142857142857,0.1,10.0,0.005,0.7,10,5.0,4.3934524632804894e-06,1.0390044808440673,6.394222254460473,6.643625573897285,72.72999412190909,69.99969245832764,13.999938491665407,0.008571127731804733,4.997175416066058,0.9943149645367297,92862
delta,0.20357142857142857,0.1,10.0,0.005,0.7,10,5.0,4.1897558083703323e-05,1.0508110061511082,6.372459229846432,6.696250294971845,73.55368858151611,69.99706717093424,13.999413434186613,0.009040881137562318,4.90079515032204,1.090750534353785,92862
delta,0.2714285714285714,0.1,10.0,0.005,0.7,10,5.0,0.0002968720910985212,1.0748894991198696,6.352728664024234,6.828481331717447,75.21992760985978,69.97921895362325,13.995843790724564,0.009525415154297315,4.8184741652831695,1.176156628837969,92862
delta,0.33928571428571425,0.1,10.0,0.005,0.7,10,5.0,0.0015299865361634302,1.1190888904861453,6.333555834625011,7.087811971802556,78.21636896856539,69.89290094246873,13.978580188493684,0.010017153722640806,4.761436804699354,1.249965853084321,92862
delta,0.40714285714285714,0.1,10.0,0.005,0.7,10,5.0,0.005635703682415283,1.1874996602866834,6.310272710903627,7.493446700514386,82.65650848548395,69.60550074223113,13.921100148446211,0.010518085194855864,4.753191160076155,1.315190606282778,92862
delta,0.475,0.1,10.0,0.005,0.7,10,5.0,0.015016169904479626,1.2721683462803641,6.276538206012244,7.98481322990812,87.71456751718651,68.94886810668666,13.789773621337293,0.01105431460418028,4.821634655464694,1.3775374085938328,92862
delta,0.5428571428571428,0.1,10.0,0.005,0.7,10,5.0,0.030578181116710068,1.357460450129166,6.229170728942898,8.45585290164225,92.11662450384453,67.85952732183054,13.571905464366138,0.01165368488774546,4.973775910094611,1.4426649406515057,92862
delta,0.6107142857142857,0.1,10.0,0.005,0.7,10,5.0,0.05126455152273013,1.4331968011251865,6.1698329695824565,8.842584875482286,95.18072269101887,66.41148139340918,13.28229627868179,0.01232017379008812,5.19231109714205,1.5130724503860726,92862
delta,0.6785714285714285,0.1,10.0,0.005,0.7,10,5.0,0.0754338141545593,1.4977554890041294,6.1020402031183885,9.139364208344439,96.93418558583393,64.71963300918117,12.943926601836294,0.013040261085021498,5.454544576826925,1.5884885602517596,92862
delta,0.7464285714285713,0.1,10.0,0.005,0.7,10,5.0,0.10181071500372985,1.5534976529692948,6.028736261889272,9.365627633215864,97.67344623147174,62.87324994973924,12.574649989947853,0.013798092851035452,5.743796441825572,1.6677554753755395,92862
delta,0.8142857142857143,0.1,10.0,0.005,0.7,10,5.0,0.12959516850261554,1.6033252198116716,5.951846143794924,9.542745026785248,97.6879412449978,60.928338204816825,12.185667640963365,0.014581626353204423,6.049951346123206,1.749799386560225,92862
delta,0.8821428571428571,0.1,10.0,0.005,0.7,10,5.0,0.15830959165262593,1.6495991858822032,5.872554438182548,9.687361020274851,97.19162686622798,58.9183285843161,11.78366571686318,0.015382838493443268,6.367130176869182,1.833821267774196,92862
delta,0.95,0.1,10.0,0.005,0.7,10,5.0,0.18766423480643102,1.6940771402253698,5.79159786729257,9.811413552358347,96.33116150013365,56.86350356354985,11.372700712709946,0.01619654907596399,6.691846529098634,1.9192562091154555,92862
